Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2010;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;70.2
2011;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;70.6
2012;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;70.6
2013;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;70.6
2014;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;71.5
2015;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;71.8
2016;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;71.9
2017;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;72.2
2018;Vidutinis būsto dydis;Šalčininkų r. sav.;Miestas ir kaimas;m²;72.4
2004;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;64.1
2005;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;64.7
2006;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;64.8
2007;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;65.0
2008;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;65.2
2009;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;70.7
2010;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;70.7
2011;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;70.9
2012;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;71.0
2013;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;70.9
2014;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;71.7
2015;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;71.9
2016;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;72.2
2017;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;72.4
2018;Vidutinis būsto dydis;Širvintų r. sav.;Miestas ir kaimas;m²;72.5
2004;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;60.7
2005;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;62.0
2006;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;62.8
2007;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;62.7
2008;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;65.1
2009;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;67.9
2010;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;67.8
2011;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.2
2012;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.2
2013;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.2
2014;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.3
2015;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.4
2016;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.4
2017;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.6
2018;Vidutinis būsto dydis;Švenčionių r. sav.;Miestas ir kaimas;m²;68.6
2004;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;62.0
2005;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;63.7
2006;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;64.4
2007;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;64.7
2008;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;70.1
2009;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;71.0
2010;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;71.1
2011;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;71.7
2012;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;71.7
2013;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;71.7
2014;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;73.5
2015;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;74.0
2016;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;74.8
2017;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;75.3
2018;Vidutinis būsto dydis;Trakų r. sav.;Miestas ir kaimas;m²;75.6
2004;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;62.7
2005;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;63.0
2006;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;65.9
2007;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.4
2008;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.5
2009;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.4
2010;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.5
2011;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.5
2012;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.5
2013;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.5
2014;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;66.9
2015;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;67.0
2016;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;67.3
2017;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;67.4
2018;Vidutinis būsto dydis;Ukmergės r. sav.;Miestas ir kaimas;m²;67.5
2004;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;55.8
2005;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;57.3
2006;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;57.5
2007;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;58.4
2008;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;59.1
2009;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;60.5
2010;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;60.5
2011;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;60.9
2012;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;61.0
2013;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;61.0
2014;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;61.6
2015;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;61.9
2016;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;62.2
2017;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;62.4
2018;Vidutinis būsto dydis;Vilniaus m. sav.;Miestas ir kaimas;m²;62.5
2004;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;65.2
2005;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;66.3
2006;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;67.1
2007;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;68.3
2008;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;69.4
2009;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;85.2
2010;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;85.4
2011;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;86.9
2012;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;87.0
2013;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;87.1
2014;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;90.2
2015;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;91.2
2016;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;92.4
2017;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;93.7
2018;Vidutinis būsto dydis;Vilniaus r. sav.;Miestas ir kaimas;m²;94.1
2004;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;56.7
2005;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;56.7
2006;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;60.9
2007;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;61.1
2008;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;58.3
2009;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;58.7
2010;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;58.7
2011;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.1
2012;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.1
2013;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.1
2014;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.4
2015;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.6
2016;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;59.9
2017;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;60.1
2018;Vidutinis būsto dydis;Alytaus m. sav.;Miestas ir kaimas;m²;60.2
2004;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;73.6
2005;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;73.5
2006;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;74.0
2007;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;74.1
2008;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;74.6
2009;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;76.0
2010;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;75.7
2011;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;76.2
2012;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;76.1
2013;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;76.1
2014;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;76.9
2015;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;77.3
2016;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;77.8
2017;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;78.3
2018;Vidutinis būsto dydis;Alytaus r. sav.;Miestas ir kaimas;m²;78.4
2004;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;57.5
2005;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;57.8
2006;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;61.1
2007;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;61.5
2008;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;59.7
2009;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;62.7
2010;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;62.7
2011;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;63.3
2012;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;63.4
2013;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;63.7
2014;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;64.9
2015;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;65.2
2016;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;65.5
2017;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;65.9
2018;Vidutinis būsto dydis;Druskininkų sav.;Miestas ir kaimas;m²;66.0
2004;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;68.7
2005;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;68.7
2006;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;69.4
2007;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;70.2
2008;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;70.2
2009;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.0
2010;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.0
2011;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.0
2012;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.0
2013;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.0
2014;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.5
2015;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.5
2016;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.6
2017;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.8
2018;Vidutinis būsto dydis;Lazdijų r. sav.;Miestas ir kaimas;m²;73.8
2004;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;63.9
2005;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;63.9
2006;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;64.2
2007;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;64.3
2008;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;64.4
2009;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;66.8
2010;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;66.7
2011;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;66.8
2012;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;66.8
2013;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;66.8
2014;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;67.3
2015;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;67.4
2016;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;67.6
2017;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;67.7
2018;Vidutinis būsto dydis;Varėnos r. sav.;Miestas ir kaimas;m²;67.8
2004;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;69.3
2005;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;69.5
2006;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;69.6
2007;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;69.6
2008;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;71.2
2009;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.3
2010;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.3
2011;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.4
2012;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.3
2013;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.4
2014;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.2
2015;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.5
2016;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.7
2017;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;72.9
2018;Vidutinis būsto dydis;Birštono sav.;Miestas ir kaimas;m²;73.0
2004;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;56.9
2005;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;57.0
2006;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;56.7
2007;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;57.0
2008;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;57.1
2009;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;59.5
2010;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;59.6
2011;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;60.1
2012;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;60.1
2013;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;60.1
2014;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;60.5
2015;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;60.7
2016;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;61.0
2017;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;61.4
2018;Vidutinis būsto dydis;Jonavos r. sav.;Miestas ir kaimas;m²;61.5
2004;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;62.5
2005;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;62.7
2006;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;62.9
2007;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;62.9
2008;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;63.6
2009;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;73.3
2010;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;73.2
2011;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;73.6
2012;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;73.5
2013;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;73.5
2014;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;74.1
2015;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;74.3
2016;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;74.5
2017;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;74.7
2018;Vidutinis būsto dydis;Kaišiadorių r. sav.;Miestas ir kaimas;m²;74.8
2004;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;55.2
2005;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;55.3
2006;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;55.2
2007;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;55.0
2008;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;57.6
2009;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;61.8
2010;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;61.8
2011;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;62.1
2012;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;62.1
2013;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;62.1
2014;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;62.8
2015;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;63.1
2016;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;63.4
2017;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;63.7
2018;Vidutinis būsto dydis;Kauno m. sav.;Miestas ir kaimas;m²;63.9
2004;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;76.4
2005;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;76.6
2006;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;77.4
2007;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;78.3
2008;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;79.8
2009;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;81.7
2010;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;81.7
2011;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;82.5
2012;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;82.5
2013;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;82.5
2014;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;84.5
2015;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;85.2
2016;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;86.1
2017;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;86.6
2018;Vidutinis būsto dydis;Kauno r. sav.;Miestas ir kaimas;m²;86.8
2004;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;59.5
2005;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;59.5
2006;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;59.5
2007;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;59.2
2008;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;59.0
2009;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;64.6
2010;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;64.5
2011;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;64.8
2012;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;64.7
2013;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;64.7
2014;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;65.3
2015;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;65.4
2016;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;65.5
2017;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;65.8
2018;Vidutinis būsto dydis;Kėdainių r. sav.;Miestas ir kaimas;m²;65.8
2004;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;70.3
2005;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;70.6
2006;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;70.7
2007;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;70.8
2008;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;72.2
2009;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.2
2010;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.1
2011;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.2
2012;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.2
2013;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.2
2014;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.3
2015;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.4
2016;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.5
2017;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.6
2018;Vidutinis būsto dydis;Prienų r. sav.;Miestas ir kaimas;m²;76.8
2004;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;65.4
2005;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;65.5
2006;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;65.6
2007;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;65.6
2008;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;67.8
2009;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;70.2
2010;Vidutinis būsto dydis;Raseinių r. sav.;Miestas ir kaimas;m²;70.2
